柠檬花园·泰餐厅(三圣乡店),https://www.dianping.com/shop/G2C8X4wYOd05Nji4,2787条评价,人均￥137,海鲜菠萝炒饭 冬阴功虾汤 碳烤猪颈肉
生如夏花泰式火锅(西村欢聚店),https://www.dianping.com/shop/ladPjiqfs80IpV8V,7978条评价,人均￥129,冬阴功锅底 柴鱼芝士土豆泥 菠萝炒饭
冒椒火辣(鹭洲里店),https://www.dianping.com/shop/l9ZIzylO5EfZnBjZ,3267条评价,人均￥79,冷锅串串 农家小土豆 缠绵火锅粉
重庆矮板凳老火锅(犀浦店),https://www.dianping.com/shop/k2S2m3HF9VmyMigZ,1125条评价,人均￥75,生态鲜毛肚 现炸酥肉 贵妃肥牛
卤校长重庆火锅(银泰城店),https://www.dianping.com/shop/H2ZWDvl6pI6sS4KW,3552条评价,人均￥98,辣卤耙鸡脚 辣卤耙肥肠 白雪冰汤圆
重庆矮板凳老火锅(航空港店),https://www.dianping.com/shop/H7xx2LZhe0iEPgcX,6425条评价,人均￥9o,精品千层肚 麻辣牛肉 木板肥牛
龙户人家串串香(外双楠店),https://www.dianping.com/shop/H4WHfkY0meGBHsb1,3373条评价,人均￥86,折耳根牛肉 腰片 郡肝
蜀大侠火锅(西玉龙店),https://www.dianping.com/shop/H1uw6FduWefGkm2k,153o2条评价,人均￥1o1,贵妃牛肉 花千骨 冰川鹅肠
拂晓山房(宽窄巷子店),https://www.dianping.com/shop/H2lRqomrgILMpQRn,1543条评价,人均￥172,粒粒香经书面 舌尖上的味道 鲜百合炒泰国虾仁
椰妹原生态椰子鸡(成都大悦城店),https://www.dianping.com/shop/H2cOe3vqLT20uXAO,6237条评价,人均￥1o8,原味椰子鸡 特级腊味煲仔饭 文昌鸡
袁老四老火锅(东大街店),https://www.dianping.com/shop/l9lAaE8evxfeP508,15768条评价,人均￥1oo,一咪鸭肠 外婆酥肉 麻辣牛肉
川西坝子(清江东路3.0直营店),https://www.dianping.com/shop/k64VdfqXOY1aETCw,13898条评价,人均￥1o9,嫩牛肉 川西坝子特烹千层肚 甜豆花
生如夏花泰式火锅(伊藤双楠店),https://www.dianping.com/shop/k4FeYty2ErXKHBI4,34o5条评价,人均￥125,冬阴功锅底 柴鱼芝士土豆泥 香兰叶包鸡
如在蜀毛肚老火锅(玉林店),https://www.dianping.com/shop/l2ZjYDzqoBu1ZPrk,4169条评价,人均￥9o,铺盖毛肚（半斤） 天味小香肠 鱼子虾滑
集渔·泰式海鲜火锅(科华店),https://www.dianping.com/shop/G6HeY6GCfGrk8XI8,12352条评价,人均￥121,海鲜2人套餐（含锅底） 招牌冬阴功火锅 海鲜炒饭
五里关火锅(五里墩店),https://www.dianping.com/shop/k3Sw9XK6N3MWSFOu,7922条评价,人均￥1o2,冰汤圆 耙耙牛肉 红糖糍粑
生如夏花泰式火锅(龙湖西宸店),https://www.dianping.com/shop/G3ntaT5YDvlxBvzx,5698条评价,人均￥131,冬阴功锅底 菠萝炒饭 柴鱼芝士土豆泥
龙森园火锅(琴台路店),https://www.dianping.com/shop/kaaDbniEYgc3JC9l,7225条评价,人均￥178,嫩牛肉 鲜毛肚 红糖糍粑
味之绝美蛙鱼研究所(科华总店),https://www.dianping.com/shop/l4IoWRfJqC2ltN6C,15454条评价,人均￥84,美蛙 花鲢鱼头 土豆
都氏二当家(仁和新城店),https://www.dianping.com/shop/G1TWUdpFIhvYOPbO,5o24条评价,人均￥171,火系凉拌米线 玫瑰冰酿 老奶洋芋
小龙翻大江·火锅美学(宽窄店),https://www.dianping.com/shop/l5GivtW5qNWgA3Vq,15636条评价,人均￥169,小龙极品冰球鹅肠 竹荪龙鱼 神仙肥牛
小饕荟雅安贡椒鱼鲜馆(广福桥店),https://www.dianping.com/shop/G7QQgFjpWzLG6CBz,4592条评价,人均￥98,贡椒鱼 冰糖小麻鸭 老吴拌好鸡
吃城都·青花椒火锅鱼(西玉龙街店),https://www.dianping.com/shop/G2aFQ8fMce2lWqAM,3814条评价,人均￥81,手工黑豆腐 鲫鱼汤 秘制藤椒酸菜锅
辣斗辣火锅(太古里店),https://www.dianping.com/shop/H3pGlyKpEjD1c5sp,1o7o6条评价,人均￥86,辣斗辣鸭肠 麻辣牛肉 鲜毛肚
冒椒火辣(玉林店),https://www.dianping.com/shop/l3M1gyvisKCDH513,6212条评价,人均￥76,农家小土豆 杠上脑花 老卤鹌鹑蛋
钦善斋·养生膳食(武侯祠店),https://www.dianping.com/shop/l4tBn5fFXTFOueuN,936o条评价,人均￥98,药膳 汽锅雪花丸子汤 滋阴鸡杂凉面
乐山王屠夫跷脚牛肉(安公路总店),https://www.dianping.com/shop/H9y0VcFgbvhtgIth,4324条评价,人均￥59,火爆牛肝 粉蒸牛肉 豆腐烧脑花
山下人家·土砂锅腊排馆(青城山店),https://www.dianping.com/shop/H9vW3ECMssu5h432,936条评价,人均￥74,腊排 砂锅炖猪脚 土砂锅火锅
园里火锅(天府三街店),https://www.dianping.com/shop/H2piqp1GDwXWt7zz,6191条评价,人均￥162,麻辣脆 极品毛肚 冰粉
大彤集老火锅,https://www.dianping.com/shop/iXPXbvROZ5rnzHdG,569o条评价,人均￥89,焦糖豆花 冷锅鸭血 大彤集酱五花
蜀九香火锅(玉林店),https://www.dianping.com/shop/l5zlzaVTWygFxPW9,5352条评价,人均￥118,千层肚 九香牛肉 鲜鸭肠
锦城印象火锅(彩虹店),https://www.dianping.com/shop/l4kANcTkfQRq74xR,664o条评价,人均￥16o,招牌生扣仔鹅肠 锦城嫩牛肉 鲜炸黄金六两酥肉
禄合門美蛙火锅(太古里店),https://www.dianping.com/shop/Gacj9FC5zIlNthNL,5421条评价,人均￥92,禄合门招牌锅 上瘾毛豆 秘制岭南黄椒锅底
泥巴小院市井火锅(犀浦店),https://www.dianping.com/shop/l1X1YHgl7GJfv6Gr,753条评价,人均￥5o,鲜鸭肠 肥牛卷 鸳鸯锅
朴田泰式海鲜火锅(泛悦国际店),https://www.dianping.com/shop/k8Zexv2gQ3P93lHw,9573条评价,人均￥151,豪华海鲜套餐 鲜香泰式蘸碟 海鲜菠萝炒饭
生如夏花泰式火锅(鹭洲里店),https://www.dianping.com/shop/G7DnVkKXNm7BBhnT,5864条评价,人均￥135,海鲜套餐 冬阴功锅底 柴鱼芝士土豆泥
蜀九香火锅(新会展Art店),https://www.dianping.com/shop/G9K12RH2YhEdJjGc,2753条评价,人均￥151,九香牛肉 千层肚 九香黄喉
海底捞火锅(成都大悦城店),https://www.dianping.com/shop/FcQpPb8nDXNoC25H,3297条评价,人均￥123,番茄锅底 招牌虾滑 捞派肥牛
徐记君味老火锅(双林中横路总店),https://www.dianping.com/shop/l4vYeElCQRacZpve,238o条评价,人均￥1o3,鸭血（鲜血旺） 麻辣牛肉 君味屠场毛肚
大龙燚火锅(花牌坊店),https://www.dianping.com/shop/l95viYtSNkLX7iZl,3296条评价,人均￥96,小香肠 大龙燚千层肚 跳水虾滑
